street_name,place,address,lat,lon,importance
ANG MO KIO AVE 1,ANG MO KIO AVE 1 Singapore,"Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.364394,103.8432576,0.71
ANG MO KIO AVE 3,ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560573, Singapore",1.3699003,103.8539149,0.71
ANG MO KIO AVE 4,ANG MO KIO AVE 4 Singapore,"Ang Mo Kio Avenue 4, Ang Mo Kio, Singapore, Central, 569898, Singapore",1.3739589,103.837396,0.71
ANG MO KIO AVE 10,ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 569739, Singapore",1.3590003,103.8546995,0.71
ANG MO KIO AVE 5,ANG MO KIO AVE 5 Singapore,"Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 569869, Singapore",1.3762932,103.857298,0.71
ANG MO KIO AVE 8,ANG MO KIO AVE 8 Singapore,"Ang Mo Kio Avenue 8, Ang Mo Kio, Singapore, Central, 569299, Singapore",1.3652843,103.8517932,0.71
ANG MO KIO AVE 6,ANG MO KIO AVE 6 Singapore,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569878, Singapore",1.3769128,103.84469,0.71
ANG MO KIO AVE 9,ANG MO KIO AVE 9 Singapore,"Ang Mo Kio Avenue 9, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.38312,103.840111,0.71
ANG MO KIO AVE 2,ANG MO KIO AVE 2 Singapore,"Ang Mo Kio Avenue 2, Ang Mo Kio, Singapore, Central, 569948, Singapore",1.3762364,103.834221,0.71
BEDOK RESERVOIR RD,BEDOK RESERVOIR RD Singapore,"Bedok Reservoir Road, Bedok, Northeast, 470746, Singapore",1.3370467,103.9207517,0.41
BEDOK NTH ST 3,BEDOK north ST 3 Singapore,"Bedok North Street 3, Bedok, Southeast, 460534, Singapore",1.3326945,103.9251009,0.61
BEDOK STH RD,BEDOK STH RD Singapore,"Bedok South Road, Bedok, Southeast, 460152, Singapore",1.317981,103.9480772,0.31
NEW UPP CHANGI RD,NEW upper CHANGI RD Singapore,"New Upper Changi Road, Simpang Bedok, Bedok, Southeast, 465407, Singapore",1.3277614,103.9485584,0.51
BEDOK NTH RD,BEDOK north RD Singapore,"Bedok North Road, Bedok, Southeast, 460414, Singapore",1.3302901,103.9294051,0.41
BEDOK STH AVE 1,BEDOK STH AVE 1 Singapore,"Bedok South Avenue 1, Bedok, Southeast, 449295, Singapore",1.3115486,103.9342734,0.51
CHAI CHEE RD,CHAI CHEE RD Singapore,"Chai Chee Road, Bedok, Southeast, 460806, Singapore",1.3263484,103.9234585,0.41
CHAI CHEE DR,CHAI CHEE DR Singapore,"Chai Chee Drive, Bedok, Southeast, 460055, Singapore",1.3263799,103.9189661,0.51
BEDOK NTH AVE 4,BEDOK north AVE 4 Singapore,"Bedok North Avenue 4, Simpang Bedok, Bedok, Southeast, 460095, Singapore",1.3340399,103.9414261,0.61
BEDOK STH AVE 3,BEDOK STH AVE 3 Singapore,"Bedok South Avenue 3, Bedok, Southeast, 460156, Singapore",1.3173048,103.9451555,0.51
BEDOK STH AVE 2,BEDOK STH AVE 2 Singapore,"Bedok South Avenue 2, Bedok, Southeast, 465010, Singapore",1.3219702,103.9375029,0.51
